dataid	knownlabel	readtype	predictedlabel	readcounts	testclass
FPRT10	Metapneumovirus	INDEL	rc_discarded	0	Coronaviridae
FPRT10	Rhinovirus	INDEL	rc_discarded	0	Coronaviridae
FPRT10	Sars_cov_2	INDEL	rc_discarded	0	Coronaviridae
FPRT10	Unrelated	INDEL	rc_discarded	0	Coronaviridae
FPRT10	Influenza	MM	rc_discarded	8	Coronaviridae
FPRT10	Metapneumovirus	MM	rc_discarded	19	Coronaviridae
FPRT10	Rhinovirus	MM	rc_discarded	148	Coronaviridae
FPRT10	Sars_cov_2	MM	rc_discarded	3	Coronaviridae
FPRT10	Unrelated	MM	rc_discarded	4	Coronaviridae
FPRT10	Influenza	EQUAL	Rhinovirus	0	Coronaviridae
FPRT10	Metapneumovirus	EQUAL	Rhinovirus	0	Coronaviridae
FPRT10	Rhinovirus	EQUAL	Rhinovirus	344027	Coronaviridae
FPRT10	Sars_cov_2	EQUAL	Rhinovirus	0	Coronaviridae
FPRT10	Unrelated	EQUAL	Rhinovirus	1	Coronaviridae
FPRT10	Influenza	INDEL	Rhinovirus	0	Coronaviridae
FPRT10	Metapneumovirus	INDEL	Rhinovirus	0	Coronaviridae
FPRT10	Rhinovirus	INDEL	Rhinovirus	99	Coronaviridae
FPRT10	Sars_cov_2	INDEL	Rhinovirus	0	Coronaviridae
FPRT10	Unrelated	INDEL	Rhinovirus	0	Coronaviridae
FPRT10	Influenza	MM	Rhinovirus	0	Coronaviridae
FPRT10	Metapneumovirus	MM	Rhinovirus	0	Coronaviridae
FPRT10	Rhinovirus	MM	Rhinovirus	97262	Coronaviridae
FPRT10	Sars_cov_2	MM	Rhinovirus	0	Coronaviridae
FPRT10	Unrelated	MM	Rhinovirus	0	Coronaviridae
FPRT10	Influenza	EQUAL	Sars_cov_2	0	Coronaviridae
FPRT10	Metapneumovirus	EQUAL	Sars_cov_2	0	Coronaviridae
FPRT10	Rhinovirus	EQUAL	Sars_cov_2	0	Coronaviridae
FPRT10	Sars_cov_2	EQUAL	Sars_cov_2	3712	Coronaviridae
FPRT10	Unrelated	EQUAL	Sars_cov_2	0	Coronaviridae
FPRT10	Influenza	INDEL	Sars_cov_2	0	Coronaviridae
FPRT10	Metapneumovirus	INDEL	Sars_cov_2	0	Coronaviridae
FPRT10	Rhinovirus	INDEL	Sars_cov_2	0	Coronaviridae
FPRT10	Sars_cov_2	INDEL	Sars_cov_2	2	Coronaviridae
FPRT10	Unrelated	INDEL	Sars_cov_2	0	Coronaviridae
