run	classifier	class	nreads	rproportion	study
SRR4427269	pacific	Influenza	0	0	GALA
SRR4427269	pacific	Metapneumovirus	0	0	GALA
SRR4427269	pacific	Sars_cov_2	0	0	GALA
SRR4427269	bwa	Rhinovirus	0	0	GALA
SRR4427269	bwa	Coronaviridae	0	0	GALA
SRR4427269	bwa	Influenza	0	0	GALA
SRR4427269	bwa	Metapneumovirus	0	0	GALA
SRR4427269	bwa	Sars_cov_2	0	0	GALA
SRR4427269	kraken	Rhinovirus	0	0	GALA
SRR4427269	kraken	Coronaviridae	0	0	GALA
SRR4427269	kraken	Influenza	0	0	GALA
SRR4427269	kraken	Metapneumovirus	0	0	GALA
SRR4427269	kraken	Sars_cov_2	0	0	GALA
SRR4427270	pacific	Rhinovirus	1065	0.37539389923229305	GALA
SRR4427270	pacific	Coronaviridae	4	0.001409930137961664	GALA
SRR4427270	pacific	Influenza	0	0	GALA
SRR4427270	pacific	Metapneumovirus	0	0	GALA
SRR4427270	pacific	Sars_cov_2	0	0	GALA
SRR4427270	bwa	Rhinovirus	2338	0.8241041656385926	GALA
SRR4427270	bwa	Coronaviridae	0	0	GALA
SRR4427270	bwa	Influenza	0	0	GALA
SRR4427270	bwa	Metapneumovirus	0	0	GALA
SRR4427270	bwa	Sars_cov_2	0	0	GALA
SRR4427270	kraken	Rhinovirus	3	0.001057447603471248	GALA
SRR4427270	kraken	Coronaviridae	0	0	GALA
SRR4427270	kraken	Influenza	0	0	GALA
SRR4427270	kraken	Metapneumovirus	0	0	GALA
SRR4427270	kraken	Sars_cov_2	0	0	GALA
SRR4427271	pacific	Rhinovirus	11	0.005546451531576957	GALA
SRR4427271	pacific	Coronaviridae	2	0.0010084457330139921	GALA
SRR4427271	pacific	Influenza	0	0	GALA
SRR4427271	pacific	Metapneumovirus	0	0	GALA
SRR4427271	pacific	Sars_cov_2	0	0	GALA
SRR4427271	bwa	Rhinovirus	0	0	GALA
SRR4427271	bwa	Coronaviridae	0	0	GALA
SRR4427271	bwa	Influenza	0	0	GALA
SRR4427271	bwa	Metapneumovirus	0	0	GALA
SRR4427271	bwa	Sars_cov_2	0	0	GALA
